Date,ZM,TSLA,rZM,rTSLA
4/18/2019,62,54.652,,
4/22/2019,65.699997,52.549999,0.057964495,-0.039220732
4/23/2019,69,52.779999,0.049007625,0.004367234
4/24/2019,63.200001,51.731998,-0.087802188,-0.020055805
4/25/2019,65,49.526001,0.028082953,-0.043578702
4/26/2019,66.220001,47.028,0.018595277,-0.051754635
4/29/2019,68.169998,48.293999,0.029022009,0.02656414
4/30/2019,72.470001,47.737999,0.061168141,-0.011579603
5/1/2019,72.760002,46.801998,0.003993684,-0.019801811
5/2/2019,75.5,48.82,0.036966275,0.042214171
5/3/2019,79.18,51.006001,0.047591085,0.043803228
5/6/2019,78.239998,51.068001,-0.011942742,0.001214805
5/7/2019,73.330002,49.411999,-0.064811171,-0.032964808
5/8/2019,77.68,48.967999,0.057627995,-0.009026286
5/9/2019,75.209999,48.396,-0.032313636,-0.011749837
5/10/2019,79.629997,47.903999,0.057106681,-0.010218178
5/13/2019,72.540001,45.402,-0.093252721,-0.05364283
5/14/2019,73.139999,46.462002,0.008237251,0.02307866
5/15/2019,79.760002,46.389999,0.086646752,-0.00155092
5/16/2019,83.400002,45.666,0.044626183,-0.015729859
5/17/2019,89.980003,42.206001,0.075939123,-0.078791624
5/20/2019,84.669998,41.071999,-0.060826133,-0.027235815
5/21/2019,85.440002,41.015999,0.009053075,-0.00136439
5/22/2019,82.43,38.546001,-0.03586495,-0.062109851
5/23/2019,78.760002,39.098,-0.045544169,0.014218956
5/24/2019,76.25,38.125999,-0.032387864,-0.025174877
5/28/2019,77.769997,37.740002,0.019738299,-0.010175845
5/29/2019,75.769997,37.972,-0.026053318,0.006128453
5/30/2019,80.419998,37.644001,0.05956048,-0.00867544
5/31/2019,79.730003,37.032001,-0.008616912,-0.016391175
6/3/2019,75.900002,35.793999,-0.049229253,-0.034002177
6/4/2019,78.739998,38.720001,0.036734549,0.078576035
6/5/2019,78.040001,39.318001,-0.008929732,0.015326166
6/6/2019,79.43,41.189999,0.017654602,0.046513029
6/7/2019,94.050003,40.900002,0.168950457,-0.007065372
6/10/2019,102,42.576,0.081146226,0.040160602
6/11/2019,94.870003,43.419998,-0.072465248,0.019629404
6/12/2019,102.769997,41.852001,0.079985887,-0.036780509
6/13/2019,100.949997,42.782001,-0.017868137,0.021977867
6/14/2019,100.290001,42.984001,-0.006559316,0.0047105
6/17/2019,98.110001,45.006001,-0.021976691,0.04596786
6/18/2019,99.639999,44.948002,0.015474372,-0.001289526
6/19/2019,102.389999,45.285999,0.027225361,0.007491601
6/20/2019,102.300003,43.924,-0.00087934,-0.030537044
6/21/2019,100.470001,44.372002,-0.018050517,0.010147817
6/24/2019,89.410004,44.728001,-0.116626608,0.007991041
6/25/2019,85.029999,43.952,-0.050228454,-0.017501597
6/26/2019,86.330002,43.854,0.015173062,-0.002232195
6/27/2019,90.269997,44.568001,0.044627961,0.0161502
6/28/2019,88.790001,44.692001,-0.016531104,0.002778402
7/1/2019,86.860001,45.433998,-0.021976404,0.016466142
7/2/2019,85.129997,44.91,-0.020118174,-0.011600192
7/3/2019,90.449997,46.98,0.060617714,0.045061492
7/5/2019,91.879997,46.619999,0.015686166,-0.007692367
7/8/2019,90.760002,46.068001,-0.012264663,-0.011911025
7/9/2019,90.93,46.012001,0.001871298,-0.001216334
7/10/2019,92.720001,47.784,0.01949423,0.037788602
7/11/2019,91.400002,47.720001,-0.014338709,-0.001340237
7/12/2019,93.300003,49.015999,0.02057464,0.026796137
7/15/2019,99.800003,50.700001,0.067348073,0.033779175
7/16/2019,97.099998,50.476002,-0.027426859,-0.004427915
7/17/2019,99.730003,50.972,0.02672521,0.009778447
7/18/2019,95.190002,50.708,-0.046591649,-0.005192773
7/19/2019,93.379997,51.636002,-0.019197758,0.018135453
7/22/2019,96.669998,51.136002,0.034625938,-0.009730353
7/23/2019,97.389999,52.034,0.00742043,0.017408562
7/24/2019,95.940002,52.976002,-0.015000509,0.017941667
7/25/2019,97.110001,45.764,0.01212135,-0.146341263
7/26/2019,102.199997,45.608002,0.051087282,-0.003414572
7/29/2019,96.470001,47.153999,-0.057699559,0.033335636
7/30/2019,95.489998,48.452,-0.010210581,0.027154797
7/31/2019,95.510002,48.321999,0.000209466,-0.002686694
8/1/2019,95.099998,46.77,-0.004302026,-0.032644951
8/2/2019,93.660004,46.868,-0.015257702,0.002093168
8/5/2019,89.690002,45.664001,-0.043311944,-0.026024877
8/6/2019,90.43,46.150002,0.008216768,0.010586741
8/7/2019,92.449997,46.683998,0.022091855,0.011504446
8/8/2019,95.769997,47.66,0.035281527,0.020691021
8/9/2019,94.199997,47.001999,-0.016529302,-0.013902339
8/12/2019,92.160004,45.801998,-0.021893909,-0.025862418
8/13/2019,95.449997,47,0.035076278,0.025819887
8/14/2019,92.650002,43.924,-0.029773544,-0.067686734
8/15/2019,90.639999,43.127998,-0.021933369,-0.018288476
8/16/2019,92.529999,43.987999,0.0206373,0.019744455
8/19/2019,93.169998,45.366001,0.006892855,0.030846101
8/20/2019,91.410004,45.172001,-0.019070835,-0.0042855
8/21/2019,93.010002,44.166,0.01735211,-0.022522186
8/22/2019,93.879997,44.43,0.009310303,0.005959655
8/23/2019,91.629997,42.279999,-0.024258643,-0.04960078
8/26/2019,91.760002,43,0.001417798,0.016885978
8/27/2019,91.730003,42.816002,-0.000326982,-0.004288204
8/28/2019,90.160004,43.118,-0.017263598,0.007028632
8/29/2019,90.870003,44.341999,0.007844033,0.027991743
8/30/2019,91.669998,45.122002,0.008765203,0.01743769
9/3/2019,92.459999,45.001999,0.008580958,-0.002663066
9/4/2019,93.529999,44.136002,0.011506122,-0.01943109
9/5/2019,92.690002,45.916,-0.009021616,0.039537819
9/6/2019,85.410004,45.490002,-0.081797377,-0.009321075
9/9/2019,78.650002,46.358002,-0.082455582,0.018901354
9/10/2019,80.349998,47.108002,0.021384412,0.01604896
9/11/2019,80.709999,49.419998,0.004470404,0.04791228
9/12/2019,81.529999,49.174,0.010108567,-0.004990132
9/13/2019,78.849998,49.040001,-0.03342375,-0.002728717
9/16/2019,80.669998,48.562,0.022819446,-0.00979498
9/17/2019,84.639999,48.958,0.048040222,0.008121456
9/18/2019,84.550003,48.698002,-0.001063845,-0.005324785
9/19/2019,84.620003,49.32,0.00082757,0.012691676
9/20/2019,82.629997,48.124001,-0.023797906,-0.024548644
9/23/2019,82.620003,48.245998,-0.000120956,0.002531847
9/24/2019,80.019997,44.641998,-0.031975252,-0.077637806
9/25/2019,79.599998,45.740002,-0.005262498,0.024298157
9/26/2019,79.75,48.512001,0.001882674,0.058837978
9/27/2019,76.040001,48.425999,-0.047637211,-0.001774372
9/30/2019,76.199997,48.174,0.002101893,-0.005217382
10/1/2019,75.809998,48.938,-0.00513124,0.015734734
10/2/2019,73.849998,48.625999,-0.026194202,-0.006395844
10/3/2019,76.830002,46.605999,0.039559233,-0.04242908
10/4/2019,76.529999,46.285999,-0.003912407,-0.006889749
10/7/2019,76.989998,47.543999,0.00599271,0.026816059
10/8/2019,73.589996,48.009998,-0.045166425,0.009753704
10/9/2019,72.860001,48.905998,-0.009969287,0.018490767
10/10/2019,71.010002,48.948002,-0.025719065,0.000858504
10/11/2019,71.349998,49.577999,0.004776576,0.012788616
10/14/2019,70.800003,51.391998,-0.007738273,0.035935313
10/15/2019,71.110001,51.577999,0.004368945,0.003612726
